district,party,votes,vote_percentage,mandates
Braga,A,286.0,0.07,0.0
Coimbra,A,320.0,0.15,0.0
Lisboa,A,747.0,0.06,0.0
Porto,A,378.0,0.04,0.0
Viana do Castelo,A,173.0,0.14,0.0
Europa,A,84.0,0.11,0.0
Fora da Europa,A,479.0,0.77,0.0
Aveiro,ADN,677.0,0.19,0.0
Castelo Branco,ADN,176.0,0.19,0.0
Faro,ADN,1157.0,0.61,0.0
Leiria,ADN,783.0,0.34,0.0
Lisboa,ADN,3208.0,0.28,0.0
Porto,ADN,1431.0,0.15,0.0
Setúbal,ADN,1310.0,0.31,0.0
Viseu,ADN,188.0,0.1,0.0
RA Açores,ADN,486.0,0.6,0.0
RA Madeira,ADN,548.0,0.44,0.0
Europa,ADN,262.0,0.35,0.0
Fora da Europa,ADN,648.0,1.04,0.0
Aveiro,B.E.,16706.0,4.68,0.0
Beja,B.E.,2511.0,3.8,0.0
Braga,B.E.,18550.0,3.83,0.0
Bragança,B.E.,1370.0,2.13,0.0
Castelo Branco,B.E.,4069.0,4.35,0.0
Coimbra,B.E.,10888.0,5.19,0.0
Évora,B.E.,2629.0,3.39,0.0
Faro,B.E.,11209.0,5.88,0.0
Guarda,B.E.,2368.0,3.14,0.0
Leiria,B.E.,10709.0,4.67,0.0
Lisboa,B.E.,55802.0,4.81,2.0
Portalegre,B.E.,1550.0,2.95,0.0
Porto,B.E.,47134.0,4.88,2.0
Santarém,B.E.,10011.0,4.69,0.0
Setúbal,B.E.,24940.0,5.86,1.0
Viana do Castelo,B.E.,4418.0,3.56,0.0
Vila Real,B.E.,2442.0,2.36,0.0
Viseu,B.E.,5218.0,2.89,0.0
RA Açores,B.E.,3613.0,4.47,0.0
RA Madeira,B.E.,4120.0,3.32,0.0
Europa,B.E.,2647.0,3.49,0.0
Fora da Europa,B.E.,1699.0,2.74,0.0
Aveiro,CDS-PP,8966.0,2.51,0.0
Beja,CDS-PP,515.0,0.78,0.0
Braga,CDS-PP,8216.0,1.7,0.0
Bragança,CDS-PP,1373.0,2.13,0.0
Castelo Branco,CDS-PP,1502.0,1.61,0.0
Coimbra,CDS-PP,3244.0,1.55,0.0
Évora,CDS-PP,896.0,1.16,0.0
Faro,CDS-PP,2111.0,1.11,0.0
Guarda,CDS-PP,1716.0,2.27,0.0
Leiria,CDS-PP,4834.0,2.11,0.0
Lisboa,CDS-PP,19558.0,1.68,0.0
Portalegre,CDS-PP,635.0,1.21,0.0
Porto,CDS-PP,14353.0,1.48,0.0
Santarém,CDS-PP,4137.0,1.94,0.0
Setúbal,CDS-PP,4863.0,1.14,0.0
Viana do Castelo,CDS-PP,4273.0,3.44,0.0
Vila Real,CDS-PP,1665.0,1.61,0.0
Viseu,CDS-PP,3789.0,2.1,0.0
Europa,CDS-PP,1156.0,1.52,0.0
Fora da Europa,CDS-PP,1379.0,2.22,0.0
Aveiro,CH,20570.0,5.77,1.0
Beja,CH,6932.0,10.48,0.0
Braga,CH,28752.0,5.93,1.0
Bragança,CH,5610.0,8.71,0.0
Castelo Branco,CH,7959.0,8.51,0.0
Coimbra,CH,13182.0,6.29,0.0
Évora,CH,7221.0,9.31,0.0
Faro,CH,24000.0,12.59,1.0
Guarda,CH,6134.0,8.12,0.0
Leiria,CH,18918.0,8.25,1.0
Lisboa,CH,92001.0,7.92,4.0
Portalegre,CH,6138.0,11.7,0.0
Porto,CH,43004.0,4.45,2.0
Santarém,CH,23813.0,11.16,1.0
Setúbal,CH,39171.0,9.21,1.0
Viana do Castelo,CH,7702.0,6.2,0.0
Vila Real,CH,7569.0,7.33,0.0
Viseu,CH,14383.0,7.97,0.0
RA Açores,CH,4991.0,6.18,0.0
RA Madeira,CH,7730.0,6.23,0.0
Europa,CH,7756.0,10.22,0.0
Fora da Europa,CH,6123.0,9.87,0.0
Aveiro,E,217.0,0.07,0.0
Beja,E,78.0,0.12,0.0
Braga,E,495.0,0.1,0.0
Bragança,E,64.0,0.1,0.0
